PIC;URAIAN KEGIATAN/ PROGRAM;;;;Juni;;;;Juli;;;;Agustus;;;;September;;;;Oktober;;;;November;;;;Desember;;;;Januari;;;;Februari;;;;Maret;;;;PIC;Catatan;;;;;;;;;;;;;;
;;;a);Pengembangan Tambak Silvofishery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pengerasan bedengan tambak dan Pintu air;;;;;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Penguatan Kelembagaan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Penebaran Benih;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Monitoring berala;;;;;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;b);Pembuatan Budidaya Kepiting Bakau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pemberian Peralatan PLTS dan Apartemen Kepiting;;;;;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pelatihan monitoring pertumbuhan kepiting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pelatihan Penangan penyakit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Penanaman Baru 2025 (Fase 4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;1);Climate (1.281.597 bibit + 5% buffer);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARIEF;;;Wanagama Nusantara (IKN);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARIEF;;;;;;;;;;;;;;;
;;;Penjajakan Lahan;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Survey Lahan;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pre FS;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Term Of Reference;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Proposal;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Negosiasi Kerja sama;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Kontrak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaksanaan Penanaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Inventarisasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penyelesaian administrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANTA;;;Perhutanan Sosial Berau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DANTA;;;;;;;;;;;;;;;
;;;Penjajakan Lahan;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Survey Lahan;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pre FS;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Term Of Reference;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Proposal;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Negosiasi Kerja sama;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Kontrak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaksanaan Penanaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Inventarisasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penyelesaian administrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANTA;;;PPKH Delta Mahakam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DANTA;;;;;;;;;;;;;;;
;;;Penjajakan Lahan;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Survey Lahan;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pre FS;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Term Of Reference;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Proposal;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
